AnimalID,Brand,SiteName,Beach,Year,Month,Day,Sex,AdjustedSex,Age,Mass_kg,StandardLength_cm,AxillaryGirth_cm,FlipperLength_cm,Brand_lead,date,Region
15758,>92,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,27.20,104.0,72.0,NA,>,2015-06-26,C ALEU
15759,>93,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,27.00,100.0,71.0,NA,>,2015-06-26,C ALEU
15760,>94,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,29.80,108.0,73.0,NA,>,2015-06-26,C ALEU
15761,>95,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,36.60,112.0,76.0,NA,>,2015-06-26,C ALEU
15762,>96,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,29.80,109.0,70.0,NA,>,2015-06-26,C ALEU
15763,>97,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,31.60,103.0,75.0,NA,>,2015-06-26,C ALEU
15764,>98,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,38.60,112.0,80.0,NA,>,2015-06-26,C ALEU
15765,>99,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,34.40,113.0,77.0,NA,>,2015-06-26,C ALEU
15766,>100,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,33.00,105.0,77.0,NA,>,2015-06-26,C ALEU
15767,>101,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,37.80,115.0,79.0,NA,>,2015-06-26,C ALEU
15768,>102,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,33.80,115.0,75.0,NA,>,2015-06-26,C ALEU
15769,>103,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,31.20,107.0,73.5,NA,>,2015-06-26,C ALEU
15770,>104,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,43.20,114.0,87.0,NA,>,2015-06-26,C ALEU
15771,>105,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,34.40,111.0,82.5,NA,>,2015-06-26,C ALEU
15772,>106,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,31.20,110.0,76.0,NA,>,2015-06-26,C ALEU
15773,>107,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,40.40,114.0,82.0,NA,>,2015-06-26,C ALEU
15774,>108,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,26.20,102.0,69.0,NA,>,2015-06-26,C ALEU
15775,>109,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,37.80,113.0,82.0,NA,>,2015-06-26,C ALEU
15880,~157,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,24.40,99.0,70.0,NA,~,2017-06-27,W ALEU
15881,~158,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,31.80,102.0,76.0,NA,~,2017-06-27,W ALEU
15882,~159,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,31.80,103.0,84.0,NA,~,2017-06-27,W ALEU
15883,~160,AGATTU/GILLON POINT,NA,2017,6,27,F,F,P,28.60,109.0,73.0,NA,~,2017-06-27,W ALEU
15884,~161,AGATTU/GILLON POINT,NA,2017,6,27,F,F,P,29.20,101.0,75.0,NA,~,2017-06-27,W ALEU
15885,~162,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,42.20,107.0,84.0,NA,~,2017-06-27,W ALEU
15886,~163,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,28.00,98.0,73.0,NA,~,2017-06-27,W ALEU
15887,~164,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,32.40,114.0,72.0,NA,~,2017-06-27,W ALEU
15888,~165,AGATTU/GILLON POINT,NA,2017,6,27,F,F,P,30.20,104.0,77.0,NA,~,2017-06-27,W ALEU
15889,~166,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,30.40,103.0,77.0,NA,~,2017-06-27,W ALEU
15890,~167,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,50.20,121.0,91.0,NA,~,2017-06-27,W ALEU
15891,~168,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,25.60,102.0,69.0,NA,~,2017-06-27,W ALEU
15892,~169,AGATTU/GILLON POINT,NA,2017,6,27,F,F,P,28.20,101.0,74.0,NA,~,2017-06-27,W ALEU
15893,~170,AGATTU/GILLON POINT,NA,2017,6,27,F,F,P,27.00,103.0,73.0,NA,~,2017-06-27,W ALEU
15894,~171,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,32.60,109.0,84.0,NA,~,2017-06-27,W ALEU
15895,~172,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,35.60,110.0,77.0,NA,~,2017-06-27,W ALEU
15896,~173,AGATTU/GILLON POINT,NA,2017,6,27,M,M,P,36.60,106.0,83.0,NA,~,2017-06-27,W ALEU
15897,~174,AGATTU/GILLON POINT,NA,2017,6,27,F,F,P,36.40,105.0,82.0,NA,~,2017-06-27,W ALEU
